id,name,category,price_tier,neighborhood,opening_hours,avg_rating,good_for_kids
1,Mama Mia Pizzeria,Korean,Expensive,Queens,5:06,3.9,true
2,Cafe Delight,Italian,Cheap,Bronx,13:49,4.25,false
3,The Spice Route,Greek,Cheap,Brooklyn,14:04,3.94,false
4,The Rustic Tavern,Korean,Medium,Brooklyn,13:28,2.72,true
5,The Hungry Spoon,Indian,Medium,Bronx,22:00,1.28,true
6,The Cozy Corner,Spanish,Cheap,Bronx,15:40,4.43,false
7,Bella Italia,French,Expensive,Staten Island,7:40,3.63,false
8,La Petite Boulangerie,Mexican,Cheap,Manhattan,11:24,1.24,true
9,Cafe Delight,Italian,Cheap,Bronx,3:44,3.09,false
10,Bella Italia,French,Medium,Brooklyn,17:39,1.23,false
11,La Petite Boulangerie,Mexican,Cheap,Queens,14:01,2.6,false
12,The Spice Route,Korean,Expensive,Bronx,12:09,1.1,false
13,The Hungry Spoon,Chinese,Cheap,Staten Island,21:55,2.63,true
14,The Rustic Tavern,Korean,Cheap,Brooklyn,20:27,1.27,true
15,The Spice Route,Italian,Expensive,Bronx,9:19,4.8,false
16,Sushi Paradise,Indian,Cheap,Bronx,0:12,3.38,true
17,The Golden Rooster,Greek,Cheap,Queens,12:32,3.36,false
18,Cafe Delight,Chinese,Expensive,Queens,19:15,2.01,true
19,The Cozy Corner,Korean,Expensive,Bronx,8:58,2.17,true
20,Sushi Paradise,Thai,Cheap,Bronx,5:44,4.66,false
21,La Petite Boulangerie,Korean,Cheap,Bronx,11:08,4.07,true
22,Mama Mia Pizzeria,Japanese,Medium,Manhattan,17:42,1.29,false
23,Mama Mia Pizzeria,Chinese,Medium,Manhattan,20:16,3.8,true
24,La Petite Boulangerie,Chinese,Medium,Staten Island,2:28,3.34,false
25,The Golden Rooster,Italian,Cheap,Brooklyn,3:36,4.36,true
26,The Cozy Corner,Mexican,Cheap,Brooklyn,15:47,2.6,false
27,The Spice Route,Thai,Expensive,Brooklyn,13:01,2.26,false
28,The Spice Route,Korean,Cheap,Bronx,5:38,2.3,true
29,The Golden Rooster,Thai,Cheap,Manhattan,10:41,3.95,false
30,The Golden Rooster,Indian,Cheap,Manhattan,19:12,4.94,true
31,The Golden Rooster,Indian,Medium,Queens,21:08,4.25,true
32,Mama Mia Pizzeria,Thai,Expensive,Staten Island,17:15,3.84,true
33,The Spice Route,Japanese,Expensive,Staten Island,6:03,4.83,false
34,Mama Mia Pizzeria,Spanish,Expensive,Staten Island,1:20,3.35,false
35,Sushi Paradise,Spanish,Medium,Manhattan,22:46,2.26,true
36,The Hungry Spoon,Greek,Expensive,Brooklyn,15:55,4.36,false
37,Sushi Paradise,Greek,Cheap,Queens,12:48,1.55,true
38,Bella Italia,Mexican,Medium,Bronx,16:50,2.94,true
39,The Cozy Corner,Italian,Cheap,Bronx,2:46,3.99,true
40,The Hungry Spoon,Indian,Cheap,Bronx,3:59,3.88,true
41,Mama Mia Pizzeria,Japanese,Expensive,Staten Island,5:28,3.48,true
42,The Rustic Tavern,French,Medium,Bronx,12:52,4.64,false
43,The Spice Route,Indian,Cheap,Bronx,10:20,4.43,true
44,Sushi Paradise,Japanese,Medium,Bronx,17:02,3.74,false
45,Mama Mia Pizzeria,French,Medium,Manhattan,4:30,3.46,false
46,La Petite Boulangerie,Japanese,Expensive,Queens,22:43,2.87,false
47,Sushi Paradise,French,Expensive,Brooklyn,9:55,1.59,true
48,Cafe Delight,Mexican,Cheap,Manhattan,3:06,1.4,true
49,The Hungry Spoon,Thai,Cheap,Bronx,3:05,3.0,false
50,The Cozy Corner,Japanese,Expensive,Manhattan,23:18,4.8,false
51,The Golden Rooster,Japanese,Medium,Manhattan,8:39,2.74,true
52,The Hungry Spoon,Thai,Cheap,Bronx,21:19,3.84,true
53,Sushi Paradise,Chinese,Cheap,Manhattan,1:15,1.3,true
54,The Hungry Spoon,Spanish,Cheap,Queens,18:02,3.5,true
55,The Golden Rooster,Italian,Medium,Brooklyn,1:30,3.25,false
56,The Spice Route,Thai,Expensive,Brooklyn,6:50,3.36,false
57,The Rustic Tavern,Chinese,Cheap,Queens,14:17,4.98,true
58,Mama Mia Pizzeria,Korean,Expensive,Manhattan,18:27,2.4,false
59,La Petite Boulangerie,Korean,Cheap,Manhattan,9:39,4.19,true
60,The Golden Rooster,Korean,Expensive,Bronx,3:47,3.0,false
61,The Rustic Tavern,Spanish,Cheap,Bronx,23:25,2.87,false
62,The Spice Route,Chinese,Medium,Manhattan,17:50,1.79,true
63,The Rustic Tavern,Indian,Cheap,Staten Island,12:36,3.9,false
64,The Rustic Tavern,Chinese,Expensive,Queens,3:00,1.77,true
65,Mama Mia Pizzeria,Spanish,Medium,Queens,0:37,3.2,true
66,The Hungry Spoon,Mexican,Expensive,Queens,22:19,1.1,false
67,The Cozy Corner,French,Expensive,Brooklyn,13:58,2.34,true
68,The Cozy Corner,Korean,Cheap,Manhattan,3:26,3.71,false
69,The Spice Route,Thai,Cheap,Manhattan,14:35,2.02,false
70,La Petite Boulangerie,Spanish,Cheap,Staten Island,3:41,1.97,true
71,The Spice Route,Japanese,Cheap,Bronx,23:42,2.31,false
72,The Golden Rooster,Japanese,Expensive,Staten Island,2:01,2.16,true
73,The Golden Rooster,Indian,Medium,Queens,11:09,2.5,false
74,The Rustic Tavern,Spanish,Medium,Manhattan,7:52,1.21,true
75,The Hungry Spoon,Spanish,Cheap,Queens,19:52,2.37,true
76,Bella Italia,Korean,Expensive,Staten Island,3:25,1.27,true
77,Cafe Delight,Indian,Medium,Manhattan,14:47,1.96,true
78,Mama Mia Pizzeria,Thai,Cheap,Manhattan,4:21,3.75,false
79,The Rustic Tavern,Chinese,Cheap,Queens,1:41,2.71,false
80,The Golden Rooster,Thai,Cheap,Queens,11:40,4.97,false
81,Sushi Paradise,Greek,Cheap,Queens,7:36,1.71,false
82,Sushi Paradise,Mexican,Expensive,Manhattan,8:08,4.21,true
83,Cafe Delight,Korean,Cheap,Brooklyn,5:01,4.1,false
